t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.1833810888252149,0.3008595988538682,0.5157593123209169,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.22922636103151864,0.5931232091690545,0.17765042979942694,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.24068767908309455,0.5873925501432665,0.17191977077363896,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.09742120343839542,0.6819484240687679,0.22063037249283668,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.10315186246418338,0.6934097421203438,0.2034383954154728,349.0
Neobatrachus_fulvus_17125,Neobatrachus_kunapalari_16563,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6962750716332379,0.1318051575931232,0.17191977077363896,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.2177650429799427,0.20057306590257878,0.5816618911174785,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.15472779369627507,0.6790830945558739,0.166189111747851,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.17191977077363896,0.6790830945558739,0.1489971346704871,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.09742120343839542,0.8051575931232091,0.09742120343839542,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.10601719197707736,0.8137535816618912,0.08022922636103152,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7020057306590258,0.17765042979942694,0.12034383954154727,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.2177650429799427,0.5644699140401146,0.2177650429799427,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.22349570200573066,0.5673352435530086,0.20916905444126074,349.0
Neobatrachus_fulvus_17125,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.8424068767908309,0.08595988538681948,0.07163323782234957,349.0
Neobatrachus_fulvus_17125,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.8968481375358166,0.05730659025787966,0.045845272206303724,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,0.5931232091690545,0.12893982808022922,0.27793696275071633,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,0.2722063037249284,0.4040114613180516,0.3237822349570201,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_wilsmorei_113973,0.2607449856733524,0.42406876790830944,0.3151862464183381,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.2148997134670487,0.498567335243553,0.28653295128939826,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.1977077363896848,0.5071633237822349,0.29512893982808025,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pelobatoides_116515,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6561604584527221,0.2177650429799427,0.12607449856733524,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.13753581661891118,0.2979942693409742,0.5644699140401146,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.12320916905444126,0.3008595988538682,0.5759312320916905,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6962750716332379,0.17478510028653296,0.12893982808022922,349.0
Neobatrachus_kunapalari_16563,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7134670487106017,0.15759312320916904,0.12893982808022922,349.0
Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,0.1489971346704871,0.15472779369627507,0.6962750716332379,349.0
Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_wilsmorei_113973,0.14040114613180515,0.16905444126074498,0.6905444126074498,349.0
Neobatrachus_pelobatoides_116515,Neobatrachus_pictus_15876,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.6962750716332379,0.12607449856733524,0.17765042979942694,349.0
Neobatrachus_pelobatoides_116515,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.7106017191977078,0.1174785100286533,0.17191977077363896,349.0
Neobatrachus_pictus_15876,Neobatrachus_sudellae_23945,Neobatrachus_sutor_15343,Neobatrachus_wilsmorei_113973,0.8681948424068768,0.05730659025787966,0.07449856733524356,349.0
